Sentence,POS Tags
ವು ಸರಿಯಾಗಿ ವೊದೋಕೋನಿ ಜನಾ ಎಕ್ಸಾಮೆಮಾಯಿ ಪಾಸ್ ವಿಯೋಕೋನಿ,pronoun adjective verb adverb noun verb verb
ಮಂಗಾಳೇರ ಮಾಖಿ ಮಂಗಾಳೆರಸಾರು ಫೂಲೇನ್ ಖಾವಚ,noun noun noun noun verb
ಸಂಸ್ಕಾರ ಕರೆರ್ ಮೊದಲಾಜ್ ನಾಯಕ್ ಏಕ್ ವೃತ್ತ ಕಾಡೋಚ,noun verb adverb noun adjective noun verb
ರಮತಿ ರಮ್ಮೆರ್ ಆಂಗ್ ಏಕ ಛೋರಾ ಏಕ ಸರ್ಕಲ್ ಕಾಡೋಚ,verb verb adverb adjective noun adjective noun verb
ಸೆ ಜವಾಬ್ದಾರಿ ಮೋಟೋ ಭೀಯಾ ಪರ ಚ,pronoun noun adjective noun preposition adverb
ಹಕ್ಕಿ ಮಾಳೋಮಾಯಿ ಇಂಡಾ ಮೇಲ ಚ,noun noun noun verb adverb
ಪಕ್ಷಿ ಅಬಾಳೆಮಾಯಿ ವಡರಿಚ,noun noun verb
ಕಾಳ್ ಲಟ್ಟಾ ನ ಲಟ್ಟಾರ ಆಚೊ ಬಣ್ಣಾ ಕನ ನಂಬಾಚಾ,adjective noun adverb noun adjective adjective adverb verb
ಹಾಂಡಿಮಾಯಿ ಪಾಣಿ ಉಕಾಳೋ,noun noun verb
ಪುಸ್ತಕೆಯೆಂದುನ ಸಂದ್ಕರ ತಲಳೆಮಾಯಿ ಮೇಲ್ಮಲೆಚ್,noun noun noun verb
ಮನ್ ಲುಯೆನ್ ಸುಖ್ ಟಕಡಾ ದ,pronoun verb adjective noun verb
ಮಿಟೋ ಅಂಬಾ ಲಾ,noun noun verb
ವಿಷನ ಪಾಂಚ್ ರಪ್ಪಿಯಾರ್ ಸಕ್ಕರ ಲಾ,adjective adjective noun noun verb
ವೋರ ಭೀಯಾ ಆಯೇರ ಆಂಗ ವೋರ ದೋಸ್ತ್ ದರಗೊತೋ,pronoun noun verb preposition pronoun noun verb
ವೋರ ಭೀಯಾ ಘರೇನ್ ಆಯೇರ ಆಂಗ ವೋರ ದೋಸ್ತ್ ದರಗೊತೋ,pronoun noun noun verb preposition pronoun noun verb
ಚಾ ಪೀವಾಳೋ ಛೋರಾ ನ ಬಲಾ,noun verb noun adverb verb
ಹಮ್ಮ ಯೇಮಾಯೀ ಪೆರ ಸಕಾಚಾ ಕ,pronoun preposition verb adverb verb
ಬಾಳಾ ಮಾರ್ ಹತೆಳಿಮಾಯಿ ವೋರ ನಾಣಕಿ ಆಂಗಳಿ ರ ಗುರ್ತ ಪಕಡಚ,verb pronoun noun pronoun adjective noun verb noun verb
ಬೇಟಿಬೆಟಾನೋ ರಮತಿಮಾಯಿ ಘಣ ವಚಕಳರೆತೇ,noun verb adjective verb
ಲತಾಕೌಡಾ ಸಂದಕೆರ್ ಉಪರ ಮೇಲ್ಮೆಲೆಚಾ,noun noun preposition verb
ಪೀಸಾ ಗಣ,noun verb
ಗಾವಡಿಯೊ ಕತರಿಚ್ ಗಣ,noun adjective verb
ಕಾಗಲಾ ಕಾಳ್ ಬಣ್ಣಾರ ರಚ,noun adjective adjective verb
ಧಯೀ ದೂದೇತಿ ವಚ,noun noun verb
ಬೋಟಿರ ನಾಣಕ್ಯ ಟುಕಡಾ ಕಾಟೊ,noun adjective noun verb
ತು ಸಾದರಿ ಪರ ಸುತೋ ಚಿ ಕ,pronoun noun preposition verb adverb verb
ಘಣೋ ನುಣ ಭೇಳಮತ,adjective noun verb
ಮಾರ ಲಾರ ಮತ ಆಜೊ,pronoun preposition adverb verb
ಮಾಯಿ ಆಜೊ ಮತ,preposition verb adverb
ಬಳದೇರ ಕನ ಆಜೊ ಮತ್,noun preposition verb adverb
ಮಾರ ಕನ್ ಆಜೊ ಮತ,pronoun preposition verb adverb
ತಾರ ದೋಸ್ತೇಯಂದುತಿ ಲಡಾಯಿ ಮಾರಮತ,pronoun noun verb verb
ವೋರ ಕನ ಜೋ ಮತ,pronoun preposition verb adverb
ಅಂಗಾರೇ ಕನ ಜೋ ಮತ್,noun preposition verb adverb
ಘಣ ದೂರ ಜೋ ಮತ,adjective preposition verb adverb
ವೋತ ಗಪ್ಪಜ್ ಹುಬ್ರ ಮತ್,adverb adverb verb adverb
ಮನ ದೇಕನ ಹಾಸ ಮತ,pronoun verb verb adverb
ತಾರ ಬಾರೆಮಾಯೀ ದುಸರೇನ ವಿಚಾರ ಕರೇನ ಮತ ಛೋಡ,pronoun noun pronoun noun verb adverb verb
ಮನ ಧಖಲ್ ಮತ,pronoun verb adverb
ಮನ್ ಜೋರೇತಿ ಧಕಲ್ ಮತ,pronoun verb verb adverb
ವೋ ಬೆಂಚೇ ಪರ ಮತ ಬೇಸ,pronoun noun preposition adverb verb
ಮಾರ ಕನ ಹುಬರ ಮತ,pronoun preposition verb adverb
ನಂದಿಮಾಯಿ ಪೆರಮತ,noun verb
ಹೊಲಸ ವಾತೆ ಕರ ಮತ,adjective noun verb adverb
ವಸಳೋ ಅತ ರೆಡ ಮತ,noun adverb verb adverb
ಭಾಟಾ ಮಾರ ಮತ,noun pronoun adverb
ಪುಸ್ತಕೇರ ಪೇಜೆನ ಫೆರ ಮತ,noun noun verb adverb
ರಾತಡ ಮಸಿತಿ ಲಕ್ಕ ಮತ,adjective noun verb adverb
ಘರೇಮಾಯಿ ಚಾವಳ ಛ ಕ ತೋನ,noun noun adverb verb pronoun
ತು ಜಾನವರೇರ ಯೇಡೊ ರಮ್ಮೇ ಚಿ ಕ,pronoun noun noun verb adverb verb
ವೋರ ಘೋಡೇನ ಘಾವ ವೇಮೇಲಿ ಚ ಕೆನ್ ಡಾಕ್ಟರ್ ಕೇಚ,pronoun noun noun verb adverb pronoun noun verb
ಕುತ್ರಾ ನಿಷ್ಠಾವಂತ ಜಾನ್ವರ್ ಚ,noun adjective noun adverb
ಸ್ವಲ್ಪ ಪಾಣಿ ಪೀ,adjective noun verb
ತಮಾರ್ ಆಂಕಿನ್ ಸುಕಾವೊ,pronoun noun verb
ಪುಸ್ತಕೇಪರ್ ಧುಳ ಪಡಮೆಲಿಚ,noun noun verb
ಧೂಳೆತಿ ಮನ ಆರಾಮ ತಪ್ಪಚ,noun pronoun verb verb
ಹರ್ ಏಕ ಬಾಳಾನ ಮಾಯೆ ವಡಿತಿ ಪಾಂಚ್ ಮಿಠಾಯಿ ಮಳಿಚ,pronoun adjective noun noun pronoun adjective noun verb
ಜಮಿ ಮಾತಾ ಏಕ ಸುಂದರ ಗ್ರಹ ಚ,noun noun adjective adjective noun adverb
ತಾಂಡೇಮಾಯಿ ಸೇ ಛಜ್ಯಾಪರ್ ಶೀನಾ ನ ಪಸಂದ ಕರಚ,noun pronoun noun noun adverb verb verb
ಮಾಣಸೇತಿ ಮಾಣಸೇರ ಆಂಖಿರ ಬಣ್ಣಾ ದುಸರೋ ರಚ,noun noun noun adjective pronoun verb
ರೈತಾ ಖೇತೇ ಮಾಯೀರ ವಸಳೋ ಜಡ ಸಮೇತ ಭಾರ ಕಾಡಚ,noun noun preposition noun noun conjunction preposition verb
ಬಾಪ ಘರೇನ್ ಚಾವ ಜಕೋಣ ಸಾಮಾನ್ ಸೇಜ ಹಾಟೇತಿ ಲಾಯೇಚ,noun noun verb adverb noun pronoun noun verb
ಬಾಪ ಹಾಟೇತಿ ಭಾಜಿಪಾಲೊ ಲಾಯೇಚ,noun noun noun verb
ಬಾಪ ದೂದ ಪಿಯೆನ ಇಷ್ಟ ಪಡೆನಿ,noun noun verb verb verb
ಬಾಪನ ಕಾಮ ಕರೆವಾಳೋ ಫೆಕೋ ಜಕೋಣ ಸೇಜ ಪೇಪರ್ ಮಳಗೇಚ,noun noun verb verb adverb pronoun noun verb
ಬಾಪೇನ್ ಮ ಫೆಕೋ ಜಕೋಣ ಸೇಜ ವಸಳೋ ಮಳಗೇಚ,noun pronoun verb adverb pronoun noun verb
ಸ್ವಲ್ಪ ಪಕ್ಷಿಯೋ ದಿಂಯೆ ದಿಸಚ,adjective noun noun verb
ಮಾಚಳಿ ಸಮಂದ್ರೆ ಮಾಯೀ ರಚ,noun noun preposition verb
ಫೂಲ ಕನ್ಹಾಯಿಬಿ ಪರಬಾತಿ ಫೂಲಚ,noun adverb noun verb
ಬಗಿಚೆ ಮಾಯೀ ಫುಲ ಫುಲರೋಚ್,noun preposition noun verb
ಫೂಲ ರಂಗ ರಂಗೇತಿ ಚ,noun adjective adjective verb
ಲಾರೆರ್ ತೀನ ವರ್ಷೆ ತಿ ಮೋಹನ್ ಜಾದಾ ಮಾರ್ಕ್ಸ್ ಲೆರೋಚ,adverb adjective noun preposition noun adjective noun verb
ಜಂಗಲ್ ಆದಿವಾಸಿ ಯಂದುನ ಘರಚ,noun noun preposition noun
ಚಾರ ಛಜ್ಯಾಪರ ಯೇಡೊ ರಮ್ಮೇನ ಗೆಚ,adjective noun noun verb verb
ಫಳೆನುಮಾಯಿ ಘಣ ಪೌಷ್ಠಿಕೌಂಸ ರಚ,noun adjective noun verb
ಫಳ ಜೀವೆನ್ ಘಣೋ ಆಚೋಚ,noun noun adjective verb
ಫಳೆತಿ ಮಾಣಸೇರ ಜೀವೆನ್ ಆಚೋ ರಚ,noun noun noun adjective verb
ಗಂಗಾ ನಂದಿರ ಪಾಣಿ ಸ್ವಚ್ಛ ಚ,noun noun noun verb verb
ಸೇ ಟೊಂಗ್ಯ ವನುನ ಭೇಳನ ಭಾಂದ,pronoun noun preposition verb verb
ಛೋರಿಯೋ ಅಂದೂರ ಹಾತೇಪರ ಮದರೇಂಗಿ ಲಗಾಡೇನ್ ಪಸಂದ ಪಡಚ,noun pronoun noun noun verb verb verb
ಛೋರಿಯೊ ನಾಕೆಮಾಯಿ ಫೂಲಿ ಘಾಲೆನ್ ಪಸಂದ ಪಡಚ,noun noun noun verb verb verb
ಸೇಜ ಮೀಠಾಯಿ ಮಾಯಿ ದಸೆಕ್ ದಸೆಕ್ ಮನ ದೋ,pronoun noun preposition adjective adjective pronoun verb
ಮನ ಏಕ ಲೋಟಿ ಪಾಣಿ ದೋ,pronoun adjective noun noun verb
ಪಿಯೇನ ಮನ ತಾತೋ ಚಾ ದೋ,verb pronoun adjective noun verb
ಸೇಜ ಮೀಠಾಯಿ ಮಾಯಿ ದಸೆಕ್ ದಸೆಕ್ ಮನ ದೋ,pronoun noun preposition adjective adjective pronoun verb
ಮನ್ ದಸೆಕ್ ಮಾಹಿತಿ ದೋ ತೊ,pronoun adjective noun verb verb
ಮನ್ ದಸೆಕ್ ಪೀಸಾ ದೋ ತೊ,pronoun adjective noun verb verb
ಮಾರ ಬೇಟಿ ಸಾರು ದಸೆಕ್ ಪಿಸಾ ದೋ,pronoun noun preposition adjective noun verb
ಮನ್ ಪತ್ರ ದೋ,pronoun noun verb
ಗಾವಡಿನ ಚಾರೋ ಘಾಲೋ,noun noun verb
ವೊ ಛೋರಿನ ಫೂಲ್ ದ,pronoun noun noun verb
ಜಾನ್ ಯೇಡೋ ರಮ್ಮ,verb noun verb
ಜಾನ್ ದೇಖ,verb verb
ಜಾನ್ ಜರಾ ನಿಂದ ಕರ,verb adjective noun verb
ತಳಾಯೇಮ ಜಾನ್ ಖುದ,noun verb verb
ಅಂಗೋಳಿ ಕರ,verb verb
ಆಚ ಮಾ ಬಾಪ ಆಚ ರಿತಿ ತಿ ಬೇಟಿಬೇಟಾ ಅಂದೂನ ಪೊಸಮೇಲಚ,adjective noun noun adjective noun preposition noun conjunction verb
ಪಾಣಿರದಾಡೋ ಖಡ್ ಘಣೋ ಆಚೋ ಹುಗಚ,noun noun adjective adjective verb
ಖಡೇರ ರಂಗ ಹರೋ ರಚ,noun adjective adjective verb
ಖಡೇನ ಘಡಿ ಘಡಿ ಕಾಟತೇ ರೇಣು,noun adjective adjective verb verb
ಹನುಮಾನ್ ವೋರ ಪುಚ್ಚಡಿತಿ ಸಾರಿ ಲಂಕಾ ನ ಬಾಳೋ,noun pronoun noun noun noun preposition verb
ವು ವೋರ ಸ್ವಂತ ಭಾಯಿನ ಮೋಸ್ ಕರನ ವು ಕಾಯಿ ಆಚೋ ರೇನೀ,pronoun pronoun adverb noun verb verb pronoun conjunction adjective verb
ಬಾಪ ಬಾಟಿ ಖಾಲೇನ ಭಾರ ಹಿಂಡೇನ ಗೋ ಚ,noun noun verb preposition verb verb verb
ವು ವೋನ ಗೀದಗಾಯೆನ್ ಕೋ,pronoun pronoun verb verb
ವು ಭಡಕೇರ ವೇಗಿಜೆರ್ ಪಚ ಜೋರೆತಿ ಉಸಲ ಲಿದೋ,pronoun verb verb preposition verb noun verb
ವು ಉಸಕೇನ್ ಛಾಣೋ ಚ,pronoun noun verb verb
ವು ಹೋಟೊ ಫರ ಫರನ ಆಯೋ,pronoun verb adjective adjective verb
ವು ನಾರಳೆರ ಝಾಡ ಚಡಚ,pronoun noun noun verb
ವೋನ ಪಾಣೀಮ ಪೆರೆನ ಆಯೇನಿ,pronoun noun verb verb
ವು ರಸ್ತಾ ಲಂಗೋಚ,pronoun noun verb
ವು ಆಂಗಳಿ ಕಟಾಲಿದೋ ತೊ ಬಿ ಲೋಯೀ ರಡೋ ಕೋನಿ,pronoun noun verb preposition preposition noun verb verb
ವು ವೋರ ಸ್ವಂತ ಭಾಯಿನ ಮೋಸ್ ಕರನ ವು ಕಾಯಿ ಆಚೋ ರೇನೀ,pronoun pronoun adverb noun verb verb pronoun preposition adjective verb
ವು ಲಬಾಡಿ ಕೇನಿ,pronoun noun verb
ವು ಜಮಿ ಪರ ಪಾನೇರ ಚಿತ್ರಾ ಕಾಡೋ,pronoun noun preposition noun noun verb
ವು ನಂದಿಮಾಯಿ ಕುದೋ,pronoun noun verb
ವು ಮನ್ ಘಣ ಆಚ ಸಿಖ್ ದಿನೋ,pronoun pronoun adjective adjective verb verb
ವು ಮನ್ ನುಣ ದಿನೋ ಲಪಣ ಸಕ್ಕರ ದಿನೋ ಕೋನಿ,pronoun pronoun noun verb conjunction noun verb verb
ವೊನ್ ಬೇಸ ಬೆಸನ್ ಡಿಹೆರ ವೆಗೋಚ,pronoun verb verb adjective verb
ವು ಅಂದಾರೇತಿ ಚಮಕಚ,pronoun noun verb
ವೋರ ಮುಂಡೋ ಗೋಲ ಆಕಾರಚ,pronoun noun adjective verb
ವೋನ ದೀ ಭಾಯೀಪಣಾಚ,pronoun adjective noun
ವೋರ ದಾಗೇನ ವು ಬುರರೋಚ,pronoun noun pronoun verb
ವು ಮನ ಮಾರನ ಭಡಕಗೊ,pronoun pronoun verb verb
ವು ಆಫೀಸೆಮಾಯಿ ಮೋಟೋ ಸ್ತಾನೇಪರ್ ಚ,pronoun noun adjective noun verb
ವು ಘಣೋ ಆಚೋ ಮಾಣಸ,pronoun adjective adjective noun
ವು ಮಾಣಸ ಘಣೋ ಆಚೋ ಸಿಕಮೇಲೋಚ,pronoun noun adjective adjective verb
ವು ಮೊಸಳಿತಿ ಚಮಕಚ,pronoun noun verb
ವು ಘಣ ವರ್ಷೇರ ಕಾಮ್ ಕರರೋಚ,pronoun adjective noun noun verb
ವು ವೋರ ಗೊಣ್ಣಿ ರ ಭರೊಸೆ ಪರಚ,pronoun pronoun noun preposition noun verb
ವು ಲತಾ ರೋ ಧಣಿ ಚ,pronoun noun preposition noun verb
ವು ವೋರ ಬೇಟಾ ನ ಝಾಡ ಕಾಟ್ನುಜಿಂವ ಕರರೋಚ,pronoun pronoun noun preposition noun adjective verb
ವು ಉಸಕೆಮಾಯಿ ರಮರೋಚ,pronoun noun verb
ವು ಛೆನ್ಡಿಮ ಹುಬೋಚ,pronoun noun verb
ವು ತಾಂಡೆಮಾಯೀಜ ಸಾವಕರಚ,pronoun noun adjective
ವೋನ ಲಾಂಬ್ ಝಾಡ್ ಚಡೇರ ರೂಡಿ ವೆಮೆಲಿಚ,pronoun adjective noun verb noun verb
ವೋನ ಉಪ್ಪರ್ ಚಡೆನ್ ರೂಡಿ ವೇಮಲಿಚ,pronoun adjective verb noun verb
ವು ವೊರಾಪೇನಾಯಿ ದಿಸಾವಚ,pronoun noun verb
ವೊನ್ ಸೈಕಲ್ ಮಾರೆನ್ ಘಣ ಇಸ್ಟ,pronoun noun verb adjective verb
ವು ರಾತಡೊ ಜಿಗಲಾ ಪೆರಮೆಲೋಚ,pronoun adjective noun verb
ವು ಹೇಟ ಬೆಟೋಚ,pronoun preposition verb
ವು ವೋರ ಕಾಮ್ ಕರೆನ್ ಘಣ ರಾತೇಲಗು ಬೆಟೋತೊ,pronoun pronoun noun verb adjective conjunction verb
ವು ವೋರ ನಕ್ಕೇತಿ ಜೀವೆನ ಖಜಾರೋಚ,pronoun pronoun noun noun verb
ವು ವೋರ ಹಾತೇನ್ ಗಚ್ಛ ಪಕಡಮೆಲೋಚ,pronoun pronoun noun adjective verb
ವು ಫಳೆ ಯಂದುನ ಧೋಯೇನ ಚಾಲು ಕಿದೋ,pronoun noun conjunction verb verb verb
ಮ ವೊನ ಮಾರನಾಕುಚು ಕೇತಾಣಿ ವು ಸಮಜಮೆಲೊತೊ,pronoun pronoun verb verb pronoun verb
ವು ಕುತರಾನ ಭಾಟಾ ಮಾರೋ,pronoun noun noun verb
ವು ವಾವಡಿರ್ ಮಾಯಿ ಭಾಟಾ ಫೆಕೊಚ,pronoun noun preposition noun verb
ವು ಜಲ್ದಿಜ ತಾಂಡೋ ಚೋಡದೇನ ಜಾಮಾಚಾ ಕನ ಕೋ ಮನ,pronoun adverb noun verb verb adverb verb pronoun
ವು ಸಾವಕಾಸ ಜತನೇತಿ ಖೋಜ ಮೇಲರೋಚ,pronoun adjective adjective noun verb
ವೋನ ಯೇ ಘಟನೇರ ಕಾರಣ ಮಾಲಮ್ ವೇರ ಚಾರಿತಿ,pronoun pronoun noun conjunction verb verb verb
ವು ಘಣೋ ಆಚೊ ಧಣಿ ವೆತ್ತೊ,pronoun adjective adjective noun verb
ವು ಹಾಸಗಿಮಾಯಿ ಸುತೊತೊ,pronoun noun verb
ವು ಸಾವಕಸ ಚಾಲರೊತೋ,pronoun adjective verb
ವು ವೋರ ಆಂಕಿರ ಆಸುನ್ ಲುಯೋಚ,pronoun pronoun noun noun verb
ವು ವೋರ ಕಾಮ್ ಖುಟಾಡೆನ್ ಘಣ ರಾತೇಲಗಾ ಕಾಮ ಕರರೊತೊ,pronoun pronoun noun verb adjective conjunction noun verb
ವೋರ ಪುಟೋ ಭೀತೇನ್ ಲಾಗ್ಗೋಚ,pronoun noun noun verb
ವೋರ ಭಾಯಿ ಘಣೋ ಲಾಂಬೋ,pronoun noun adjective adjective
ವೋ ಛೋರಿರ ಬಾಪ್ ಘಣೋ ಚಮಕಮೇಲೊತೊ,pronoun noun noun adjective verb
ವೋ ಛೋರಿರ ಲಟ್ಟಾ ಸುಕೇಚ,pronoun noun noun verb
ವೋರ ಲಟ್ಟಾಮಾಯಿ ಜುಂವೆ ವೆರಿಚ,pronoun noun noun verb
ವೋರ ರಂಗ ಕಾಳೋಚ,pronoun adjective verb
ವೋರೋ ತ್ವಚಾ ಘಣ ಮೃದು ಚ,pronoun noun adjective adjective verb
ವೋರೋ ತ್ವಚಾ ಘಣೋ ನಾಜೂಕ ಚ,pronoun noun adjective adjective verb
ವೋರ ಕಡ ಘಣ ಪಾತಳಚ,pronoun noun adjective adjective
ವೋರೋ ಬೇಟಾ ಸಾರಿ ರಾತ್ ಖಾಸೋಚ,pronoun noun adjective noun verb
ವು ದಸೆಕಜ್ ಹಾಸೊ ಲಪಣ ಘಣ ಜೋರತಿ ಹಾಸೊ,pronoun adjective verb conjunction adjective adjective verb
ವೋರ ಹಾಂಡಿ ಘಣ ಬೋಜಾ ವೇತ್ತಿ,pronoun noun adjective adjective verb
ಬದನಾನ್ ಢೀಲೋ ಪಕಡೊ,noun adjective verb
ಮ ಪಾಣಿ ಭರು ಜನಾ ಯೇ ಹಾಂಡಿನ ಪಕಡೋ,pronoun noun verb preposition pronoun noun verb
ಮಾರ ಸಾರು ಯೇ ಬದನಾನ್ ಪಕಡೋ,pronoun preposition pronoun noun verb
ಪಾಣಿಮ್ ಪೆರಾಜನಾ ಉಸಲ ಪಕಡನ್ ಪೆರನು,noun verb noun verb verb
ಘೋಡೋ ಗಾಡಿನ ಖೇಚರೋಚ,noun noun verb
ತೂ ವೆಂಗಣೇರ ನಂಗಾವಣ ಕಿಂವ ಕೀದಿ,pronoun noun noun adjective verb
ತು ನಂದಿನ ಕಿಂವು ಲಂಗೋ,pronoun noun adjective verb
ತು ಯೇ ಹಾಂಡಿನ ಕಿಂವು ಕೀದೋ,pronoun pronoun noun adjective verb
ತು ಅತರಿ ಛಂದ ಹಾಂಡಿ ಕಿಂವು ಕರೆಚಿ,pronoun adjective adjective noun adjective verb
ಅತೇತಿ ತೂ ದುಸರ ಗಾಮೇಯಂದುನ ಜಾನ್ ಕಿಂವು ಪುಚೇಚಿ,adverb noun pronoun noun verb adjective verb
ಅತ್ತಿ ಸಾಲಿ ಕತರಿ ದೂರಚ,adverb noun adjective verb
ಧಣಿ ಮಸಾಲಿ ಛ ಜಕೋಣ ಖಾಣೆನ ಇಷ್ಟ ಪಡೇನಿ,noun noun verb conjunction noun verb verb
ಧಣಿ ಘಣೋ ಆಸರೋ ದಚ,noun adjective noun verb
ಮಾ ರೈತಾ ಚು,pronoun noun verb
ಮನ್ ಏಕ ಹಪ್ತಿ ಕುತರಾ ಕಾಟಮೇಲೋಚ ಜೇರ ಸಾರು ಕುತರಾತಿ ಚಮಕಣಿ ಲಾಗಚ,pronoun adjective preposition noun verb adverb preposition noun verb verb
ಮ ಕನಾಬಿ ಲಡಾಯಿ ಮಾರೆನ ತಯಾರಚು,pronoun adverb verb verb verb
ಮ ಥಂಡೋ ಚು ಅಜಿ ಭಿನೋ ಚು,pronoun adjective verb conjunction adjective verb
ಕಾಲ ರಾತೇತಿ ಮಾರ ದಾತ ದುಕರೋಚ,adverb noun pronoun noun verb
ಮನ್ ಔಸರ ಚ ಸ್ಟೇಷನೇನ್ ಪುಚೇನ,noun adjective verb noun verb
ಮನ್ ಔಸರ ಚ ನಗರೇನ್ ಜಾಯೇನ,pronoun adjective verb noun verb
ಮ ಸ್ಟೇಷನೇರ ಕನ ಚು,pronoun noun preposition verb
ಫಳ ತೊಡೆನ್ ಮ ಘಣೋ ಗಿಡ್ಡಾ ಚು,noun verb pronoun adjective adjective verb
ಝಾಡೇಪರತಿ ಫಳ ತೊಡೆನ್ ಮ ಘಣೋ ಗಿಡ್ಡಾ ಚು,noun noun verb pronoun adjective adjective verb
ಮನ ವೋರ ಕೆಟ್ಟ ನಡವಳಿಕೆತಿ ಘಣ ರಿಸ ಆವಚ,pronoun pronoun adjective noun adjective verb verb
ಮನ ಘುಂಗಡಿಮಾಯಿ ಗರಮ ಲಾಗರೋಚ,pronoun noun adjective verb
ಮ ತೋನ್ ಲಾಂಬ್ ಲಕಡಿಯಂದುನ ಗೋಳಾ ಕರ ಕನ ಕೋತೊ,pronoun pronoun adjective noun verb verb verb verb
ಮ ಮಾರ ದಾಂತೇತಿ ಮಾರಜ್ ಜಿಬ ಕಾಟಲಿದೋ,pronoun pronoun noun pronoun noun verb
ಮ ದಸ್ಸ ರಪ್ಪಿಯಾಮ್ ಸೇಜ ಲಾಯೋ,pronoun adjective noun pronoun verb
ಮ ಆಜ ರಾತ ಖಾಣೆನ ದಶೇಕ ಬೋಟಿ ಲಿದೋಚು,pronoun adverb noun noun adjective noun verb
ಮ ಹಾಂಡಿನ ಫೋಡೋ,pronoun noun verb
ಮನ್ ವೋ ಘಟನೆ ರ ಬಗ್ಗೆ ರಾತ್ ಮಾಲಾಮ ವಿ,pronoun pronoun noun preposition conjunction noun verb verb
ಮ ಪರಮೇದಾಡ ಹೊಟೋ ಆಬಹುದು,pronoun adverb conjunction verb
ಮ ಲಡಾಯಿ ಕರಸಕು ಚು ಯೇಡೊ ಬಿ ಮಾರ ಸಕುಚು,pronoun noun verb verb noun preposition verb verb
ಮ ವೊನ್ ಎಕ ಬೇಟಾ ದೇ ಸಕುಚು,pronoun pronoun adjective noun verb verb
ವಾಳೆತಿ ಪಾಲೋ ಹಾಲಜೇರ ಆವಾಜ ಸಮಲ್ರೋಚು ಮ,noun noun verb noun verb pronoun
