Word,POS
ಬಳಗೇಚ,verb
<END>,
<START>,
ಸೆ,pronoun
ಜರೂರಿ,verb
ಪೇಪರ್,noun
ಅಂಗಾರೆಮ್,noun
ಬಳಗೇಚ,verb
<END>,
<START>,
ಸೇಜ,pronoun
ಪಾನ,noun
ಝಡಗೇಚ,verb
<END>,
<START>,
ಜೀವ,noun/adjective
ಜನಗಾನಿವೋ,noun
ಖತರೇನ್,noun
ಸಮಜಲಚ,verb
<END>,
<START>,
ಜೀವ,noun/adjective
ಜನಗಾನಿವೋ,noun
ಅಂದುರ್ಜ,pronoun
ಭಾಷಾಮಾಯಿ,noun
ವಾತೆ,verb
ಕರಚ,verb
<END>,
<START>,
ಜೀವ,noun/adjective
ಜನಗಾನಿವೋ,noun
ಅಂಗಾರೇತಿ,noun
ಚಮಕಚ,noun/adjective/verb
<END>,
<START>,
ಮಾರ,pronoun
ಲತಾಕೌಡ,noun
ಸುಖಾಗೆಚ,verb
ಕ,verb
?,?
<END>,
<START>,
ಮಾರ್,pronoun
ಕಾನ್,noun
ರಾತಡ್,adjective/noun
ವೆರೆಚ್,verb
ಕ,verb
?,
<END>,
<START>,
ಸಿಲಾಗಜನಾ,verb
ಮನ್,pronoun
ಭಾರ್,preposition
ಆಯೆರ,verb
ವೆನಿ,verb
<END>,
<START>,
ಮನ,pronoun
ಸಿಲಾಗರೋಚ,verb
ಜೆರಸಾರು,preposition
ಲಕ್ಕೇನ,verb
ವೆರಿಕೊಂತಿ,verb
<END>,
<START>,
ವು,pronoun
ಹೋಟೊ,verb
ಆಯೋಜನಾ,verb
ವೋರ,pronoun
ಯಾಡಿ,noun
ಬಚಿ,verb
<END>,
<START>,
ವು,pronoun
ಸರಿಯಾಗಿ,adjective
ವೊದೋಕೋನಿ,verb
ಜನಾ,adverb
ಎಕ್ಸಾಮೆಮಾಯಿ,noun
ಪಾಸ್,verb
ವಿಯೋಕೋನಿ,verb
<END>,
<START>,
ಮಂಗಾಳೇರ,noun
ಮಾಖಿ,noun
ಮಂಗಾಳೆರಸಾರು,noun
ಫೂಲೇನ್,noun
ಖಾವಚ,verb
<END>,
<START>,
ಮ,pronoun
ಘರೇನ್,noun
ಜಾಯೇರ್,verb
ಆಂಗ್,preposition
ಲತಾಕೌಡಾ,noun
,
ಬದಲ್,verb
ಕೀದಿ,verb
/ಕೀದೊ,verb
<END>,
<START>,
ಸಂಸ್ಕಾರ,noun
ಕರೆರ್,verb
ಮೊದಲಾಜ್,adverb
ನಾಯಕ್,noun
ಏಕ್,adjective
ವೃತ್ತ,noun
ಕಾಡೋಚ,verb
<END>,
<START>,
ರಮತಿ,verb
ರಮ್ಮೆರ್,vernb
ಆಂಗ್,adverb
ಏಕ,adjective
ಛೋರಾ,noun
ಏಕ,adjective
ಸರ್ಕಲ್,noun
ಕಾಡೋಚ,verb
<END>,
<START>,
ಸೆ,pronoun
ಜವಾಬ್ದಾರಿ,noun
ಮೋಟೋ,adjective
ಭೀಯಾ,noun
ಪರ,preposition
ಚ,adverb
<END>,
<START>,
ಹಕ್ಕಿ,noun
ಮಾಳೋಮಾಯಿ,noun
ಇಂಡಾ,noun
ಮೇಲ,verb
ಚ,adverb
<END>,
<START>,
ಪಕ್ಷಿ,noun
ಅಬಾಳೆಮಾಯಿ,noun
ವಡರಿಚ,verb
<END>,
<START>,
ಕಾಳ್,adjective
ಲಟ್ಟಾ,noun
ನ,adverb
ಲಟ್ಟಾರ,noun
ಆಚೊ,adjective
ಬಣ್ಣಾ,adjective
ಕನ,adverb
ನಂಬಾಚಾ,verb
<END>,
<START>,
ಹಾಂಡಿಮಾಯಿ,noun
ಪಾಣಿ,noun
ಉಕಾಳೋ,verb
<END>,
<START>,
ಬಾಂಬೆಮಾಯಿ,noun
ಗೀಲೋ,adjective
ಹವಾಮಾನ,noun
ರಚ,verb
ಪಣ,conjuction
ಡೆಲ್ಲಿ,noun
ಮಾಯಿ,preposition
ಸುಕೋ,adjective
ಹವಾಮಾನ,noun
ರಚ,verb
<END>,
<START>,
ಪುಸ್ತಕೆಯೆಂದುನ,noun
ಸಂದ್ಕರ,noun
ತಲಳೆಮಾಯಿ,noun
ಮೇಲ್ಮಲೆಚ್,verb
<END>,
<START>,
ಮನ್,pronoun
ಲುಯೆನ್,verb
ಸುಖ್,adjective
ಟಕಡಾ,noun
ದ,verb
<END>,
<START>,
ಮಿಟೋ,noun
ಅಂಬಾ,noun
ಲಾ,verb
<END>,
<START>,
ಭಾಜಿ,noun
ಪಾಲೊ,noun
ಲಿಯಾತೋ,verb
ಅತ,adverb
<END>,
<START>,
ವಿಷನ,adjective
ಪಾಂಚ್,adjective
ರಪ್ಪಿಯಾರ್,noun
ಸಕ್ಕರ,noun
ಲಾ,verb
<END>,
<START>,
ವೋರ,pronoun
ಭೀಯಾ,noun
ಆಯೇರ,verb
ಆಂಗ,preposition
ವೋರ,pronoun
ದೋಸ್ತ್,noun
ದರಗೊತೋ,verb
<END>,
<START>,
ವೋರ,pronoun
ಭೀಯಾ,noun
ಘರೇನ್,noun
ಆಯೇರ,verb
ಆಂಗ,preposition
ವೋರ,pronoun
ದೋಸ್ತ್,noun
ದರಗೊತೋ,verb
<END>,
<START>,
ಚಾ,noun
ಪೀವಾಳೋ,verb
ಛೋರಾ,noun
ನ,adverb
ಬಲಾ,verb
<END>,
<START>,
ಗ್ಲಾಸ್,noun
ಫೋಡೋ,verb
ಜಕೋಣ,conjuction
ಛೋರಾನ,noun
ಬಲಾ,verb
<END>,
<START>,
ಪರಮೇದಾಡ,adverb
ಗ್ಲಾಸ್,noun
ಫೋಡೋ,verb
ಜಕೋಣ,conjuction
ಛೋರಾನ,noun
ಬಲಾ,verb
<END>,
<START>,
ಪರಮೇದಾಡ,adverb
ಹಾಂಡಿ,noun
ಕಿದೋ,verb
ಜಕೋಣ,conjuction
ಛೋರಾನ,noun
ಬಲಾ,verb
<END>,
<START>,
ನಾಣಕ್ಯ,adjective
ಛೋರಾ,noun
ಅತ್ರಿ,adjective
ವಜನ್,adjective
ಪಾಡಚ,verb
ಕ,verb
?,
<END>,
<START>,
ಮ,pronoun
ಛೋರಾನ,noun
ಪಾಡು,verb
ಕಾಯಿ,pronoun
?,
<END>,
<START>,
ಹಮ್ಮ,pronoun
ಯೇಮಾಯೀ,preposition
ಪೆರ,verb
ಸಕಾಚಾ,adverb
ಕ?,verb
<END>,
<START>,
ತು,pronoun
ಮಾರ್,pronoun
ಕನ್ನೇಸಿ,adverb
ಆಯೆಚಿ,verb
ಕ,verb
?,
<END>,
<START>,
ಕುಕಡೀರ,noun
ಖೋಡೆಮಾಯಿ,noun
ಕತರಿ,adjective
ಕುಕಡಿಚ,noun
ಗಣೆಚಿ,verb
ಕ,verb
ತು,pronoun
?,
<END>,
<START>,
ಜರಾ,adjective
ಲಕಡಿ,noun
ಕಾಟೆಚಿ,verb
ಕ,verb
ತು,pronoun
?,
<END>,
<START>,
ರಮತಿ,verb
ರಮ್ಮೆರ್,verb
ಸಾಮಾನ್,noun
ಲಾನ್,verb
ದೇಚೀ,verb
ಕ,verb
ಮನ,pronoun
?,
<END>,
<START>,
ಮಾರ,pronoun
ವಾತ,noun
ಸಾಮಳೆಚಿ,verb
ಕ,verb
ತು,pronoun
?,
<END>,
<START>,
ತೂ,pronoun
ಜರ/ಥೋಡ,adjective
ಪೊಡ್ಯ,noun
ಪಕಡೆಚಿ,verb
ಕ,verb
?,
<END>,
<START>,
ಲಕಡಿರ,noun
ಫಳಿನ,noun
ತು,pronoun
ಪಾಡೆಚಿ,verb
ಕ,verb
?,
<END>,
<START>,
ಅಬಾಳೆನ್,noun
ದೇಕನ,verb
ತು,pronoun
ಹವಾಮಾನ,noun
ಕೆ,verb
ಸಕೇಚಿ,adverb
ಕ,verb
?,
<END>,
<START>,
ಮುಖ್ಯಸ್ಥ,noun
ಘಟನೇರ,noun
ಮೂಲ,noun
ಕಾರಣ,conjuction
ಕಾಯಿಚ್,verb
ಕೆನ್,pronoun
ಮಾಲಮ,verb
ಕರೆನ್,verb
ಬಯಸರೊಚ್,verb
<END>,
<START>,
ಮಾಯೆರ,noun
ಹಾವ್,adverb
ಭಾವ್,adverb
,
ದೇಖನ್,verb
ಬೇಟಾ,noun
ಹಾಸ್ಸಚ,verb
<END>,
<START>,
ಬಾಳಾ,verb
ಮಾರ್,pronoun
ಹತೆಳಿಮಾಯಿ,noun
ವೋರ,pronoun
ನಾಣಕಿ,adjective
ಆಂಗಳಿ,noun
ರ,verb
ಗುರ್ತ,noun
ಪಕಡಚ,verb
<END>,
<START>,
ಬೇಟಿಬೆಟಾನೋ,noun
ರಮತಿಮಾಯಿ,verb
ಘಣ,adjective
ವಚಕಳರೆತೇ,verb
<END>,
<START>,
ಲತಾಕೌಡಾ,noun
ಸಂದಕೆರ್,noun
ಉಪರ,preposition
ಮೇಲ್ಮೆಲೆಚಾ,verb
<END>,
<START>,
ಆಜೊ,verb
ಬೇಸಾ,verb
<END>,
<START>,
ಏಕೇತಿ,preposition
ದಸ್ಸೆ,preposition
ರ,verb
ಲಗಾ,preposition/conjuction
ಗಣ,verb
<END>,
<START>,
ಪೀಸಾ,noun
ಗಣ,verb
<END>,
<START>,
ಗಾವಡಿಯೊ,noun
ಕತರಿಚ್,adjective
ಗಣ,verb
<END>,
<START>,
ಕಾಗಲಾ,noun
ಕಾಳ್,adjective
ಬಣ್ಣಾರ,adjective
ರಚ,verb
<END>,
<START>,
ಧಯೀ,noun
ದೂದೇತಿ,noun
ವಚ,verb
<END>,
<START>,
ಬೋಟಿರ,noun
ನಾಣಕ್ಯ,adjective
ಟುಕಡಾ,noun
ಕಾಟೊ,verb
<END>,
<START>,
ವು,pronoun
ವೊನ್,pronoun
ಕಾಯಿ,adjective
ಚಾವ,verb
ಜಕೋಣ,conjuction
ಕೊ,verb
ಕ,verb
?,
<END>,
<START>,
ತು,pronoun
ಕನ್ನಾಯಿ,adverb
ಎಡೊ,noun
ರಮ್ಮೋ,verb
ಚಿ,adverb
ಕ,verb
?,
<END>,
<START>,
ತು,pronoun
ಸಾದರಿ,noun
ಪರ,preposition
ಸುತೋ,verb
ಚಿ,adverb
ಕ?,verb
<END>,
<START>,
ತು,pronoun
ಗಮಾಗಿ,verb
ಜಕೋಣ,conjuction
ಕುಕಡಿನ,noun
ಧುನ್ಡೊ,verb
ಚಿ,adverb
ಕ,verb
?,
<END>,
<START>,
ತು,pronoun
ಡಾಕ್ಟರೇನ್,noun
ದಿಟೊಚಿ,verb
ಕ,verb
ಆಜ,adverb
?,
<END>,
<START>,
ತು,pronoun
ನ್ಯೂಸ್,noun
ಪೇಪರ್,noun
ದಿಟೋಚಿ,verb
ಕ,verb
ಆಜ,adverb
?,
<END>,
<START>,
ತು,pronoun
ಠೀಕ,adjective
ಸುತೋ,verb
ಚಿ,adverb
ಕ,verb
?,
<END>,
<START>,
ಘಣೋ,adjective
ನುಣ,noun
ಭೇಳಮತ,verb
<END>,
<START>,
ಮಾರ,pronoun
ಲಾರ,preposition
ಮತ,adverb
ಆಜೊ,verb
<END>,
<START>,
ಮಾಯಿ,preposition
ಆಜೊ,verb
ಮತ,adverb
<END>,
<START>,
ಬಳದೇರ,noun
ಕನ,preposition
ಆಜೊ,verb
ಮತ್,adverb
<END>,
<START>,
ಮಾರ,pronoun
ಕನ್,preposition
ಆಜೊ,verb
ಮತ,adverb
<END>,
<START>,
ತಾರ,pronoun
ದೋಸ್ತೇಯಂದುತಿ,noun
ಲಡಾಯಿ,verb
ಮಾರಮತ,verb
<END>,
<START>,
ವೋರ,pronoun
ಕನ,preposition
ಜೋ,verb
ಮತ,adverb
<END>,
<START>,
ಅಂಗಾರೇ,noun
ಕನ,preposition
ಜೋ,verb
ಮತ್,adverb
<END>,
<START>,
ಘಣ,adjective
ದೂರ,preposition
ಜೋ,verb
ಮತ,adverb
<END>,
<START>,
ವೋತ,adverb
ಗಪ್ಪಜ್,adverb
ಹುಬ್ರ,verb
ಮತ್,adverb
<END>,
<START>,
ಮನ,pronoun
ದೇಕನ,verb
ಹಾಸ,verb
ಮತ,adverb
<END>,
<START>,
ತಾರ,pronoun
ಬಾರೆಮಾಯೀ,noun
ದುಸರೇನ,pronoun
ವಿಚಾರ,noun
ಕರೇನ,verb
ಮತ,adverb
ಛೋಡ,verb
<END>,
<START>,
ಮನ,pronoun
ಧಖಲ್,verb
ಮತ,adverb
<END>,
<START>,
ಮನ್,pronun
ಜೋರೇತಿ,verb
ಧಕಲ್,verb
ಮತ,adverb
<END>,
<START>,
ವೋ,pronoun
ಬೆಂಚೇ,noun
ಪರ,preposition
ಮತ,adverb
ಬೇಸ,verb
<END>,
<START>,
ಮಾರ,pronoun
ಕನ,preposition
ಹುಬರ,verb
ಮತ,adverb
<END>,
<START>,
ನಂದಿಮಾಯಿ,noun
ಪೆರಮತ,verb
<END>,
<START>,
ಹೊಲಸ,adjective
ವಾತೆ,noun
ಕರ,verb
ಮತ,adverb
<END>,
<START>,
ವಸಳೋ,noun
ಅತ,adverb
ರೆಡ,verb
ಮತ,adverb
<END>,
<START>,
ಭಾಟಾ,noun
ಮಾರ,pronoun
ಮತ,adverb
<END>,
<START>,
ಪುಸ್ತಕೇರ,noun
ಪೇಜೆನ,noun
ಫೆರ,verb
ಮತ,adverb
<END>,
<START>,
ರಾತಡ,adjective
ಮಸಿತಿ,noun
ಲಕ್ಕ,verb
ಮತ,adverb
<END>,
<START>,
ಘರೇಮಾಯಿ,noun
ಚಾವಳ,noun
ಛ,adverb
ಕ,verb
ತೋನ,pronoun
<END>,
<START>,
ತು,pronoun
ಜಾನವರೇರ,noun
ಯೇಡೊ,noun
ರಮ್ಮೇ,verb
ಚಿ,adverb
ಕ,verb
<END>,
<START>,
ತೋನ,pronoun
ವು,pronoun
ಛೋರಿ,noun
ಮಾಲಮ,verb
ಚ,adverb
ಕ,verb
?,
<END>,
<START>,
ತು,pronoun
ಹೇಟ,preposition
ಬೇಸು,verb
ಕೆರೊಚಿ,verb
ಕ,verb
?,
<END>,
<START>,
ವೋರ,pronoun
ಘೋಡೇನ,noun
ಘಾವ,noun
ವೇಮೇಲಿ,verb
ಚ,adverb
ಕೆನ್,pronoun
ಡಾಕ್ಟರ್,noun
ಕೇಚ,verb
<END>,
<START>,
ಕುತ್ರಾ,noun
ನಿಷ್ಠಾವಂತ,adjective
ಜಾನ್ವರ್,noun
ಚ,adverb
<END>,
<START>,
ಸ್ವಲ್ಪ,adjective
ಪಾಣಿ,noun
ಪೀ,verb
<END>,
<START>,
ತಮಾರ್,pronoun
ಆಂಕಿನ್,noun
ಸುಕಾವೊ,verb
<END>,
<START>,
ಪುಸ್ತಕೇಪರ್,noun
ಧುಳ,noun
ಪಡಮೆಲಿಚ,verb
<END>,
<START>,
ಧೂಳೆತಿ,noun
ಮನ,pronoun
ಆರಾಮ,verb
ತಪ್ಪಚ,verb
<END>,
<START>,
ಹರ್,pronoun
ಏಕ,adjective
ಬಾಳಾನ,noun
ಮಾಯೆ,noun
ವಡಿತಿ,pronoun
ಪಾಂಚ್,adjective
ಮಿಠಾಯಿ,noun
ಮಳಿಚ,verb
<END>,
<START>,
ಜಮಿ,noun
ಮಾತಾ,noun
ಏಕ,adjective
ಸುಂದರ,adjective
ಗ್ರಹ,noun
ಚ,adverb
<END>,
<START>,
ಬೇಟಿ,noun
ಮಾಯೆ,noun
ಸಾರು,conjunction
ಖಾಣೋ,noun
ಕರಚ,verb
ನಿಕಾಣಿ,conjunction
ಮಾ,noun
ಬೇಟಿ,noun
ಸಾರು,conjunction
ಖಾಣೋ,noun
ತಯಿಯಾರ್,verb
ಕರಚ,verb
<END>,
<START>,
ತಾಂಡೇಮಾಯಿ,noun
ಸೇ,pronoun
ಛಜ್ಯಾಪರ್,noun
ಶೀನಾ,noun
ನ,adverb
ಪಸಂದ,verb
ಕರಚ,verb
<END>,
<START>,
ಮಾಣಸೇತಿ,noun
ಮಾಣಸೇರ,noun
ಆಂಖಿರ,noun
ಬಣ್ಣಾ,adjective
ದುಸರೋ,pronoun
ರಚ,verb
<END>,
<START>,
ರೈತಾ,noun
ಖೇತೇ,noun
ಮಾಯೀರ,preposition
ವಸಳೋ,noun
ಜಡ,noun
ಸಮೇತ,conjunction
ಭಾರ,preposition
ಕಾಡಚ,verb
<END>,
<START>,
ಬಾಪ,noun
ಘರೇನ್,noun
ಚಾವ,verb
ಜಕೋಣ,adverb
ಸಾಮಾನ್,noun
ಸೇಜ,pronoun
ಹಾಟೇತಿ,noun
ಲಾಯೇಚ,verb
<END>,
<START>,
ಬಾಪ,noun
ಹಾಟೇತಿ,noun
ಭಾಜಿಪಾಲೊ,noun
ಲಾಯೇಚ,verb
<END>,
<START>,
ಬಾಪ,noun
ದೂದ,noun
ಪಿಯೆನ,verb
ಇಷ್ಟ,verb
ಪಡೆನಿ,verb
<END>,
<START>,
ಬಾಪನ,noun
ಕಾಮ,noun
ಕರೆವಾಳೋ,verb
ಫೆಕೋ,verb
ಜಕೋಣ,adverb
ಸೇಜ,pronoun
ಪೇಪರ್,noun
ಮಳಗೇಚ,verb
<END>,
<START>,
ಬಾಪೇನ್,noun
ಮ,pronoun
ಫೆಕೋ,verb
ಜಕೋಣ,adverb
ಸೇಜ,pronoun
ವಸಳೋ,noun
ಮಳಗೇಚ,verb
<END>,
<START>,
ಸ್ವಲ್ಪ,adjective
ಪಕ್ಷಿಯೋ,noun
ದಿಂಯೆ,noun
ದಿಸಚ,verb
<END>,
<START>,
ಮಾಚಳಿ,noun
ಸಮಂದ್ರೆ,noun
ಮಾಯೀ,preposition
ರಚ,verb
<END>,
<START>,
ಫೂಲ,noun
ಕನ್ಹಾಯಿಬಿ,adverb
ಪರಬಾತಿ,noun
ಫೂಲಚ,verb
<END>,
<START>,
ಬಗಿಚೆ,noun
ಮಾಯೀ,preposition
ಫುಲ,noun
ಫುಲರೋಚ್,verb
<END>,
<START>,
ಫೂಲ,noun
ರಂಗ,adjective
ರಂಗೇತಿ,adjective
ಚ,verb
<END>,
<START>,
ಲಾರೆರ್,adverb
ತೀನ,adjective
ವರ್ಷೆ,noun
ತಿ,preposition
ಮೋಹನ್,noun
ಜಾದಾ,adjective
ಮಾರ್ಕ್ಸ್,noun
ಲೆರೋಚ,verb
<END>,
<START>,
ಜಂಗಲ್,noun
ಆದಿವಾಸಿ,noun
ಯಂದುನ,preposition
ಘರಚ.,noun
<END>,
<START>,
ಚಾರ,adjective
ಛಜ್ಯಾಪರ,noun
ಯೇಡೊ,noun
ರಮ್ಮೇನ,verb
ಗೆಚ,verb
<END>,
<START>,
ಫಳೆನುಮಾಯಿ,noun
ಘಣ,adjective
ಪೌಷ್ಠಿಕೌಂಸ,noun
ರಚ,verb
<END>,
<START>,
ಫಳ,noun
ಜೀವೆನ್,noun
ಘಣೋ,adjective
ಆಚೋಚ,verb
<END>,
<START>,
ಫಳೆತಿ,noun
ಮಾಣಸೇರ,noun
ಜೀವೆನ್,noun
ಆಚೋ,adjective
ರಚ,verb
<END>,
<START>,
ಗಂಗಾ,noun
ನಂದಿರ,noun
ಪಾಣಿ,noun
ಸ್ವಚ್ಛ,verb
ಚ,verb
<END>,
<START>,
ಸೇ,pronoun
ಟೊಂಗ್ಯ,noun
ವನುನ,preposition
ಭೇಳನ,verb
ಭಾಂದ,verb
<END>,
<START>,
ಛೋರಿಯೋ,noun
ಅಂದೂರ,pronoun
ಹಾತೇಪರ,noun
ಮದರೇಂಗಿ,noun
ಲಗಾಡೇನ್,verb
ಪಸಂದ,verb
ಪಡಚ,verb
<END>,
<START>,
ಛೋರಿಯೊ,noun
ನಾಕೆಮಾಯಿ,noun
ಫೂಲಿ,noun
ಘಾಲೆನ್,verb
ಪಸಂದ,verb
ಪಡಚ,verb
<END>,
<START>,
ಸೇಜ,pronoun
ಮೀಠಾಯಿ,noun
ಮಾಯಿ,preposition
ದಸೆಕ್,adjective
ದಸೆಕ್,adjective
ಮನ,pronoun
ದೋ,verb
<END>,
<START>,
ಮನ,pronoun
ಏಕ,adjective
ಲೋಟಿ,noun
ಪಾಣಿ,noun
ದೋ,verb
<END>,
<START>,
ಪಿಯೇನ,verb
ಮನ,pronoun
ತಾತೋ,adjective
ಚಾ,noun
ದೋ,verb
<END>,
<START>,
ಸೇಜ,pronoun
ಮೀಠಾಯಿ,noun
ಮಾಯಿ,preposition
ದಸೆಕ್,adjective
ದಸೆಕ್,adjective
ಮನ,pronoun
ದೋ,verb
<END>,
<START>,
ಮನ್,pronoun
ದಸೆಕ್,adjective
ಮಾಹಿತಿ,noun
ದೋ,verb
ತೊ,verb
<END>,
<START>,
ಮನ್,pronoun
ದಸೆಕ್,adjective
ಪೀಸಾ,noun
ದೋ,verb
ತೊ,verb
<END>,
<START>,
ಮಾರ,pronoun
ಬೇಟಿ,noun
ಸಾರು,preposition
ದಸೆಕ್,adjective
ಪಿಸಾ,noun
ದೋ,verb
<END>,
<START>,
ಮನ್,pronoun
ಪತ್ರ,noun
ದೋ,verb
<END>,
<START>,
ಗಾವಡಿನ,noun
ಚಾರೋ,noun
ಘಾಲೋ,verb
<END>,
<START>,
ವೊ,pronoun
ಛೋರಿನ,noun
ಫೂಲ್,noun
ದ,verb
<END>,
<START>,
ಜಾನ್,verb
ಯೇಡೋ,noun
ರಮ್ಮ,verb
<END>,
<START>,
ಜಾನ್,verb
ದೇಖ,verb
<END>,
<START>,
ಜಾನ್,verb
ಜರಾ,adjective
ನಿಂದ,noun
ಕರ,verb
<END>,
<START>,
ತಳಾಯೇಮ,noun
ಜಾನ್,verb
ಖುದ,verb
<END>,
<START>,
ಅಂಗೋಳಿ,verb
ಕರ,verb
<END>,
<START>,
ಆಚ,adjective
ಮಾ,noun
ಬಾಪ,noun
ಆಚ,adjective
ರಿತಿ,noun
ತಿ,preposition
ಬೇಟಿಬೇಟಾ,noun
ಅಂದೂನ,conjunction
ಪೊಸಮೇಲಚ,verb
<END>,
<START>,
ಪಾಣಿರದಾಡೋ,noun
ಖಡ್,noun
ಘಣೋ,adjective
ಆಚೋ,adjective
ಹುಗಚ,verb
<END>,
<START>,
ಖಡೇರ,noun
ರಂಗ,adjective
ಹರೋ,adjective
ರಚ,verb
<END>,
<START>,
ಖಡೇನ,noun
ಘಡಿ,adjective
ಘಡಿ,adjective
ಕಾಟತೇ,verb
ರೇಣು,verb
<END>,
<START>,
ಹನುಮಾನ್,noun
ವೋರ,pronoun
ಪುಚ್ಚಡಿತಿ,noun
ಸಾರಿ,noun
ಲಂಕಾ,noun
ನ,preposition
ಬಾಳೋ,verb
<END>,
<START>,
ತು,pronoun
ಖಾದೋ,verb
ಚಿ,verb
ಕ,verb
?,
<END>,
<START>,
ವು,pronoun
ವೋರ,pronoun
ಸ್ವಂತ,adverb
ಭಾಯಿನ,noun
ಮೋಸ್,verb
ಕರನ,verb
ವು,pronoun
ಕಾಯಿ,conjunction
ಆಚೋ,adjective
ರೇನೀ,verb
<END>,
<START>,
ಬಾಪ,noun
ಬಾಟಿ,noun
ಖಾಲೇನ,verb
ಭಾರ,preposition
ಹಿಂಡೇನ,verb
ಗೋ,verb
ಚ,verb
<END>,
<START>,
ವು,pronoun
ವೋನ,pronoun
ಗೀದಗಾಯೆನ್,verb
ಕೋ,verb
<END>,
<START>,
ವು,pronoun
ಭಡಕೇರ,verb
ವೇಗಿಜೆರ್,verb
ಪಚ,preposition
ಜೋರೆತಿ,verb
ಉಸಲ,noun
ಲಿದೋ,verb
<END>,
<START>,
ವು,pronoun
ಉಸಕೇನ್,noun
ಛಾಣೋ,verb
ಚ,verb
<END>,
<START>,
ವು,pronoun
ಹೋಟೊ,verb
ಫರ,adjective
ಫರನ,adjective
ಆಯೋ,verb
<END>,
<START>,
ವು,pronoun
ನಾರಳೆರ,noun
ಝಾಡ,noun
ಚಡಚ,verb
<END>,
<START>,
ವೋನ,pronoun
ಪಾಣೀಮ,noun
ಪೆರೆನ,verb
ಆಯೇನಿ,verb
<END>,
<START>,
ವು,pronoun
ರಸ್ತಾ,noun
ಲಂಗೋಚ,verb
<END>,
<START>,
ವು,pronoun
ಆಂಗಳಿ,noun
ಕಟಾಲಿದೋ,verb
ತೊ,preposition
ಬಿ,preposition
ಲೋಯೀ,noun
ರಡೋ,verb
ಕೋನಿ,verb
<END>,
<START>,
ವು,pronoun
ವೋರ,pronoun
ಸ್ವಂತ,adverb
ಭಾಯಿನ,noun
ಮೋಸ್,verb
ಕರನ,verb
